ID,Species,Variation_all_years,Recovery_pospoint,Recovery_negpoint,Growth_change_pospoint,Growth_change_negpoint,RWI_negpoint,RWI_pospoint,RWI_normalyears
6216,Abies,0.057704962,-0.905573173,3.204195008,-3.296498448,-23.44309254,0.781871935,0.987628111,1.003407716
6135,Abies,0.000130968,-0.204731685,0.032551483,-0.003536241,0.25447435,1.002024474,0.999445707,0.999480778
6217,Abies,0.004085831,2.473301392,0.850404941,4.633868676,-1.287479871,0.98985266,1.049229754,0.993545876
6137,Abies,0.019590262,1.692231638,-6.109153651,7.887115646,-13.85950833,0.872025883,1.092173442,0.990209669
6218,Abies,7.00782E-05,-0.215924449,-0.377036937,0.412731957,-0.750188468,0.993354531,1.00499377,1.000115003
6139,Abies,0.004138124,0.020439262,-1.436690814,1.400133086,-5.969691682,0.949120399,1.023509723,0.998876035
6219,Abies,0.013964497,-1.070950445,-3.084053425,8.956561098,-10.96238426,0.907283064,1.110254826,0.992485154
6141,Abies,0.001684163,-0.409891216,-2.314530201,2.549591941,-4.352550654,0.96263759,1.032103759,1.000316239
6220,Abies,0.005526523,0.624307289,-3.823609971,4.936057064,-6.477230689,0.949891157,1.065813528,0.999835674
6143,Abies,0.003336447,0.34003257,-0.675826519,2.768269265,-3.613021297,0.964251251,1.028089411,0.999310173
6221,Abies,0.016342192,-1.598209208,-6.571972999,3.990802377,-6.121104361,0.943674084,1.045319339,0.995540783
6145,Abies,0.011493049,1.476371753,-2.107279392,2.112596577,-0.214888707,0.997929124,1.021205796,0.995634718
6222,Abies,0.02381835,9.630098425,2.565909921,18.55516114,-5.014229045,0.920046383,1.148343021,0.988737077
6147,Abies,0.009678879,3.108187609,3.775754123,4.040477304,-5.573616084,0.940710231,1.036489352,0.994226383
6223,Abies,0.016471775,0.348904778,-20.17514792,-5.410621882,-13.66703634,0.869080513,0.95219464,1.01414514
6149,Abies,0.009087304,-4.489706969,-1.21472521,4.013100619,-13.1245223,0.873122627,1.045360487,1.00303857
6224,Abies,0.009951025,-1.714513994,-0.280378868,1.288392559,-17.21864394,0.840397845,1.02828162,1.005960409
6151,Abies,0.0129278,1.03857379,6.092067114,5.925637987,0.210873946,0.992572045,1.049175833,0.994642537
6225,Abies,0.008082136,6.314977265,7.359405399,4.386742303,-7.714405243,0.906197796,1.025024936,0.999797569
6153,Abies,0.00040783,-0.024677004,-0.323646978,-0.039846629,-0.286804412,0.997926064,1.000397609,1.000435747
6226,Abies,0.046528125,-4.2242714,-3.544911567,10.49468557,-29.16992127,0.710945953,1.109073306,1.006628906
6155,Abies,0.005786624,1.76306777,0.325104116,0.436741209,6.310124967,1.051013619,0.992947594,0.995476295
6227,Abies,0.002910824,-1.234075414,-0.150362071,2.427744106,-5.291437236,0.94731963,1.024530515,0.999429718
6157,Abies,0.058564282,7.613199166,3.247845122,8.593178695,-15.46272004,0.848241783,1.089617167,0.984690222
6228,Abies,0.015746034,-1.509834976,-0.297712053,-3.468279824,-2.749751053,0.989528869,0.982217783,0.992966148
6159,Abies,0.00916406,-2.425692636,-3.928687071,-0.404004581,-10.63263666,0.907427613,1.011288159,0.999893485
6229,Abies,0.000918454,-0.024483096,-0.127729935,-0.507685761,0.578054079,1.004549345,0.993705238,0.999689853
6161,Abies,0.009036223,-2.86301728,-3.475182577,-4.726858581,-9.290868951,0.914652824,0.960673384,1.006600111
6230,Abies,0.002598229,0.523694517,-0.470498335,2.823336287,-1.795982582,0.977437084,1.023413753,0.999273556
6163,Abies,0.00218914,1.404957726,1.886891441,3.016571545,-6.234211249,0.936443221,1.028831212,1.001361711
6231,Abies,0.003158805,1.578037775,0.43809436,2.408097946,-5.294962998,0.946676765,1.023676987,1.000425402
6165,Abies,0.006425762,-1.904543226,-3.433518827,0.762756745,-6.86442387,0.936520065,1.013214794,1.002100273
6232,Abies,0.00565746,2.8107378,-2.89669257,8.920364859,-4.080707654,0.94969072,1.078413499,0.995436552
6167,Abies,0.00538982,6.138489179,4.525545103,9.95631627,1.363963838,0.992715895,1.07686577,0.990824779
6233,Abies,0.007044065,-0.568643064,2.005293015,-0.940165114,-8.223109747,0.920100202,0.993114648,1.005719356
6169,Abies,0.005463101,-0.869283107,0.307561446,4.386181532,-3.718182559,0.963892312,1.045026367,0.99759469
6234,Abies,0.001158748,0.052973234,0.131888587,-0.138691716,-3.264830681,0.967852788,0.999130371,1.001431583
6171,Abies,0.0821661,21.98237439,20.061855,18.96031473,8.671085546,0.951970303,1.042105048,0.942493656
6235,Abies,0.005800947,1.278183157,-1.025983892,1.606623406,-4.17680599,0.95926657,1.01716331,0.999255019
6173,Abies,0.000147785,-0.065336053,0.116188489,-0.05088522,-1.026654581,0.99038928,1.000153439,1.000057304
6236,Abies,0.006880612,0.365272218,-0.873212829,2.150442437,-10.99924364,0.899477732,1.032373791,1.000633169
6175,Abies,0.00507352,0.319904601,0.245425625,1.044323038,-0.1000289,0.993124572,1.004500792,0.997393473
6237,Abies,0.010996264,2.377119042,1.95789892,3.488897556,-10.75133607,0.89422719,1.036907244,1.001171059
6178,Abies,0.011855564,-1.273757883,-2.796127702,4.148493714,-8.170311267,0.927829245,1.052296045,1.003713147
6238,Abies,0.007688645,1.297769743,0.228878566,3.051801016,-7.4310193,0.92145352,1.025801992,0.99880595
6181,Abies,0.011799733,-0.241555746,-1.088595555,0.03014619,-7.031015196,0.944892117,1.01665837,0.995928389
6239,Abies,0.00297655,-0.000886088,-2.893286602,0.993479878,-5.315836169,0.95727179,1.021059968,0.999917498
6183,Abies,0.006001257,-1.221928541,2.148699194,-2.356964349,-5.514732102,0.949215507,0.980938993,0.995384721
6240,Abies,0.044608182,-1.285156259,-9.49340937,7.806639411,-22.52741494,0.796521516,1.108396057,0.991409227
6185,Abies,0.005968402,1.486359895,-2.047861586,2.482348429,-6.279497618,0.950014274,1.03883026,1.00284912
6241,Abies,0.006716466,1.745515501,-1.238567498,6.068577689,-4.899014578,0.953264218,1.063200127,0.998833657
6187,Abies,0.008631955,-2.187313695,-1.849374978,1.22345214,-11.73475098,0.892498786,1.02352635,1.005551193
6242,Abies,0.010460383,3.984836928,2.774915852,0.039549325,-1.131015771,0.979454157,0.991050462,0.999278509
6189,Abies,0.012933011,0.636582815,-3.461859057,0.682829237,-15.12643707,0.863161793,1.023941596,1.007496291
6243,Abies,0.017392377,1.619824745,0.239202361,-5.259948507,-12.57651472,0.882648246,0.956518034,1.007402885
6191,Abies,0.022862119,1.468262945,1.493478895,-5.369526276,-14.61082587,0.874490714,0.969133047,1.007040499
6244,Abies,0.007157569,-1.034667918,-2.397385657,0.062583915,-7.842961689,0.931773362,1.011704065,0.995451925
6193,Abies,0.001198517,0.325846483,0.258266205,0.453013311,-2.838926683,0.974409025,1.007423234,0.999549919
6245,Abies,0.007090155,-0.255212435,0.311759249,-1.605228846,-10.04738412,0.907465437,0.992632101,1.006532261
6195,Abies,0.010448578,0.108415591,-0.29750784,0.536586926,-10.52928936,0.903488371,1.015233215,0.997485846
6246,Abies,0.007858601,1.777666682,0.699330288,9.003404128,-7.022087315,0.918411584,1.076707211,0.989840136
6197,Abies,0.006748728,0.652367065,2.067489265,5.195493891,-8.481024676,0.915103114,1.051855352,0.996525468
6247,Abies,0.001821639,1.086538819,0.835819339,2.091015209,-2.22807517,0.976915991,1.020071411,0.997904611
6199,Abies,0.000628278,-0.179217592,0.35381686,-0.181238546,0.800038886,1.005485097,0.995696809,0.999450648
5300,Abies,0.001338173,0.100593345,-0.693848943,0.735221315,-4.468457073,0.961488736,1.013861785,1.004577605
5901,Abies,0.007447769,1.583349588,0.269304872,2.007680044,-6.153977525,0.939146865,1.020823157,0.999007481
5902,Abies,0.00025855,-0.003194932,-0.154055803,1.869245931,-1.173043016,0.987861426,1.018271751,0.998375252
5903,Abies,0.005373863,1.899042426,0.340747887,2.090897817,-0.128944364,0.991449618,1.01348665,0.994978395
5904,Abies,0.006604241,-0.482857918,-1.020674949,1.148551555,-3.646299246,0.961482407,1.009328672,0.997470403
5906,Abies,0.01824901,-0.080406539,-5.677747773,12.07520477,-11.9066887,0.873029811,1.110697207,0.989772275
5907,Abies,0.016199165,-1.828427651,-5.119687356,5.411268134,-17.15297948,0.833299454,1.060257226,0.998426924
5908,Abies,0.024056047,1.830163385,-3.827069962,3.050173738,-11.10155807,0.886673466,1.027822904,0.997002387
5909,Abies,0.007663046,-1.587086055,-2.906806698,1.75761346,-12.01510883,0.888211895,1.027248218,1.002959709
5910,Abies,0.018569859,-2.947400807,-5.013779646,4.155507698,-12.69675596,0.877253656,1.046591119,0.997653299
5911,Abies,0.0018359,-2.232379593,-3.041329838,1.76767179,-6.573349601,0.94211715,1.02622826,0.999685308
5912A,Abies,0.005450476,-2.06632802,-3.251966579,0.558112955,-9.127442323,0.918908749,1.016849665,1.00011072
5912B,Abies,0.014785165,-2.275611976,-2.996547577,1.760779122,-13.40273903,0.873136289,1.026025859,1.006435609
5912C,Abies,0.007773013,-3.056495118,-0.598364408,4.757857827,-10.03441796,0.899952993,1.047924612,1.001657734
5913,Abies,0.00167526,0.418638538,-0.669203261,-2.095026095,-4.957964105,0.954010619,0.982748148,1.003295343
5914,Abies,0.008093197,-1.722534255,-6.977510293,3.508299633,-11.81665958,0.889160963,1.043683977,0.997124452
5915,Abies,0.022894139,-5.418484958,-9.949904425,2.00723808,-11.29633145,0.887996554,1.021176209,0.992660837
5916,Abies,0.006325153,-0.841101235,-3.749742145,3.621426818,-8.996007815,0.911304284,1.037653931,0.995439028
5917,Abies,0.012392061,-2.160138628,-6.036755318,4.230862768,-13.35191397,0.876678651,1.054575771,1.003103735
5918,Abies,0.021402201,3.273108557,-0.898274182,15.35355837,-6.576273053,0.908351767,1.121573844,0.980654985
5919,Abies,0.016841625,2.003563744,-12.21729831,-4.29462522,-13.15219466,0.876503645,0.965897866,0.98080874
5920,Abies,0.010358668,-1.125772746,-1.974205631,2.913808523,-6.095760462,0.941714338,1.032066386,0.999647506
5921,Abies,0.006358384,-2.850618571,-1.936343373,2.762317723,-5.443859823,0.943826043,1.025737213,0.996445458
5922,Abies,0.000808929,0.937704609,-0.791638282,1.78104356,-2.548828825,0.971866363,1.015047551,0.999875706
5923,Abies,0.001959663,-0.139628328,-1.357622696,2.891547355,-2.653133311,0.972229087,1.027605289,0.99794635
5924,Abies,0.007432701,-0.724108519,-1.508011926,3.072071008,-2.727455174,0.972640968,1.030631193,0.99661111
5925,Abies,0.016692677,1.571540147,-3.57512393,1.106871986,-9.537985046,0.90254449,1.008748813,1.002135336
5926,Abies,0.000419567,0.377911732,0.306108137,0.341669285,0.737336389,1.005709872,1.001759735,0.999697352
5927,Abies,0.003388964,3.4034364,0.320417798,3.635839682,-1.349149059,0.976197477,1.025526331,0.993817878
5928,Abies,0.001770569,-0.633036589,-1.96798659,-0.094447685,-2.830272446,0.973267377,1.000669831,1.000353989
5929,Abies,0.004651548,2.627577421,-1.852003568,2.997832651,-4.731056797,0.944533779,1.02116103,0.998744396
5931,Abies,0.002927888,0.021491394,-0.487702187,1.529675321,-1.416115384,0.983568766,1.012958841,0.997390004
5932,Abies,0.007034071,-0.007169375,-4.28436557,6.184108938,-8.133151941,0.916799221,1.05968051,0.994307102
5933,Abies,0.002298844,0.28402539,0.856426082,2.835260132,0.246251794,0.99722646,1.022981315,0.997530131
5934,Abies,0.004428325,1.820082957,-1.93826364,5.684126844,-8.533372721,0.905022241,1.045698176,0.999864042
5935,Abies,0.006767871,-1.442233386,-2.703489015,0.194959935,-3.256243268,0.970337358,1.004952836,0.993669083
5936,Abies,0.01302132,6.289350504,-1.691963776,4.603108059,-8.797258118,0.906069287,1.039197524,0.995794695
5937,Abies,0.001581628,0.863934671,-0.863335421,2.367375378,-2.129191517,0.973823417,1.018564665,0.996882201
5938,Abies,0.014997752,2.94788433,-3.606318743,7.98581672,-7.168088883,0.90199355,1.049235215,0.987735827
5939,Abies,0.002082046,1.191461782,-1.360210252,2.889237187,-5.620091662,0.943657779,1.028738327,0.999716318
5940,Abies,0.002026301,0.596029991,0.379688258,1.729061202,-3.738806569,0.958270039,1.012702086,1.000079804
5941,Abies,0.01799344,2.307152197,-0.60105453,6.376955769,-8.635125104,0.906376248,1.055302119,0.998008291
5942,Abies,0.005469207,-1.285629048,-0.059768333,0.50385814,-6.601920124,0.937740259,1.009084064,1.003184368
5943,Abies,0.020544179,0.510457707,-3.794310882,2.417267453,-10.02005769,0.9009379,1.025468516,0.994421633
5944,Abies,0.004555125,2.264861296,-2.026580611,4.869723418,-5.291390213,0.944302728,1.045615241,0.998760623
5945,Abies,0.007322279,2.047314469,-1.325877526,6.205982596,-13.1726638,0.875231856,1.070571358,1.000444349
5946,Abies,0.008414938,0.578847259,-1.830473805,2.268035455,-10.97525069,0.890863019,1.023387445,0.998504405
5947,Abies,0.005992484,2.043409437,0.087564998,6.445115666,-4.293685148,0.951524094,1.058290588,0.993109955
5948,Abies,0.017378842,1.420810951,-4.731073132,2.681570133,-20.4925556,0.791311309,1.021955722,1.004231179
5949,Abies,0.017502748,-1.052119666,-4.660612253,4.628734067,-9.451634103,0.901377245,1.041542375,0.998710847
5950,Abies,0.019495035,0.820249182,1.579978691,2.629137032,-2.550057742,0.930465161,0.97991681,0.981521625
5951,Abies,0.006424665,1.724113367,0.033192109,7.561959845,-7.534469723,0.910257696,1.05887136,0.996283553
5952,Abies,0.004134944,-0.936970083,-3.856373988,-0.531672121,-5.854520118,0.949104951,1.00276596,1.000220204
5953,Abies,0.01700621,-6.912025211,-10.28420393,-1.327902908,-14.49509971,0.864843328,0.998023558,0.997682985
5954,Abies,0.00649331,1.006827662,-2.403241219,3.763499266,-6.645511921,0.929857867,1.033536877,0.997516404
5955,Abies,0.000902105,0.337734364,0.078368208,0.941149229,0.11681081,0.999550143,1.007780206,0.999191487
5956,Abies,0.025678446,-1.809528961,-1.144279641,0.891195715,-0.497486748,0.994515985,1.008395703,0.988552441
5957,Abies,0.003884549,0.015323568,0.159740872,2.794652425,-3.340224434,0.967373067,1.028771044,1.001273174
5958,Abies,0.01201413,-1.372484513,-7.735509135,5.978934075,-11.82805287,0.887679389,1.066952908,0.991497429
5959,Abies,0.002490404,-1.12247861,-1.472869238,1.554181664,-4.013501473,0.960093214,1.015783284,0.999255918
5960,Abies,0.008448689,2.926486979,-1.613957542,5.133499187,-2.849256951,0.962030713,1.041079584,0.992006219
5961,Abies,0.00185903,0.383510184,-1.254195535,0.696911316,-0.886270288,0.991202184,1.007035036,0.998100673
5962,Abies,0.003829051,3.854597582,0.69865509,5.258667106,-5.185055474,0.941795494,1.045532842,0.996988929
5963,Abies,0.028326389,1.748596524,-10.05069762,10.15585427,-7.649047186,0.920540489,1.098017085,0.985611353
5964,Abies,0.005368259,3.337189489,2.082075521,5.164509011,3.103013848,1.012541046,1.032786317,0.993648264
5965,Abies,0.011012939,-2.029406362,-4.806150194,-1.322004026,-9.964395888,0.911874507,0.999404067,1.001188315
5966,Abies,0.016782542,-1.410361671,-2.524546234,2.211961482,-9.202985749,0.914177099,1.029106906,0.999594148
5967,Abies,0.015791709,-0.758446254,-4.91047381,8.039502927,-9.1056963,0.914511954,1.087014399,0.990178271
5968,Abies,0.037645317,-4.244124059,-8.92527951,2.351167988,-21.91299963,0.781756254,1.024673317,1.002737614
5969,Abies,0.00859826,-0.572450162,-0.99944528,2.202116773,-7.325660962,0.921172481,1.015877517,0.997916152
5970,Abies,0.006375698,-1.310736676,-3.904890516,0.874494242,-3.836438784,0.961687964,1.008799859,0.999264179
5971,Abies,0.018674416,3.545723323,-5.861393143,10.25969788,-6.148692476,0.93144993,1.094298956,0.979044138
5972,Abies,0.022391197,-0.651923966,-3.515073709,-0.666943589,-18.20463801,0.821536181,0.99768126,1.006756592
5973,Abies,0.001742796,-0.351009937,-2.237616244,3.391091609,-5.080315724,0.952183031,1.037163616,0.998129157
5974,Abies,0.021043387,0.450596697,-8.017642855,2.509820889,-11.7617248,0.885394669,1.028597269,0.992622241
5975,Abies,0.000609769,0.05473732,-0.543348403,1.580016579,-1.848463058,0.97923756,1.013442792,0.998102417
5976,Abies,0.023826439,0.462233085,-3.480437922,2.058690221,-12.02765168,0.872142686,1.01179225,0.998189824
5977,Abies,0.000547082,0.500280654,0.649233402,0.987934624,1.333206943,1.010059478,1.006617905,0.999366426
5978,Abies,0.004287809,-3.255860601,-3.101184045,1.674929293,-0.496384552,0.997228683,1.018989665,0.989769838
5979,Abies,0.011446866,-3.055969425,-2.426630773,-1.819947596,-5.141350421,0.948150663,0.981349431,0.993524657
5980,Abies,0.002223095,-2.01836173,-2.617656295,-0.962764149,-3.805080176,0.969818875,0.998474564,1.000596799
5981,Abies,0.005276009,-1.37165613,-3.37532721,1.380043384,-5.148572599,0.952622473,1.0181914,0.995232077
5982,Abies,0.004830207,-4.961731745,-6.623994525,0.493891036,-1.520181871,0.990732546,1.010994642,0.982241948
5983,Abies,0.004586495,-1.862213538,-5.231457742,-0.228332828,-6.03182201,0.948040631,1.006591767,1.000021977
5984,Abies,0.000184392,-0.013471692,-0.605486565,0.689970736,-1.294273347,0.986989605,1.006830686,0.999991259
5985,Abies,0.018780283,-3.193083268,-6.499158549,4.626835789,-15.89891835,0.852201512,1.060190261,0.996892503
5986,Abies,0.006651564,5.206818471,-2.694259093,2.061566676,-2.820205366,0.965639482,1.014147836,0.993935999
5987,Abies,0.004366654,-1.116076218,-4.670944562,0.030301661,-4.259268712,0.956062496,0.998897946,0.994389485
5988,Abies,0.004001315,-0.107770309,-3.619938682,2.98355149,-3.747908611,0.958595993,1.025636102,0.995711645
5989,Abies,0.029058756,-0.382703714,0.168369387,6.095344398,-0.45248177,0.952808845,1.015480691,0.982596842
5990,Abies,0.034971407,4.421999376,-0.045983195,6.678094823,-4.32995551,0.948822024,1.057996015,0.992334063
5991,Abies,0.01870647,3.904568853,-3.151946219,9.001527306,-4.812220904,0.929990965,1.064952209,0.984365018
5992,Abies,0.002044904,-1.212313154,-3.141336658,2.054103112,-6.068947867,0.944750107,1.026451026,0.998804247
5993,Abies,0.011170989,1.565673457,-2.575044684,1.896270993,-7.389163934,0.923840126,1.016467056,0.99314192
5994,Abies,0.017417024,1.380192197,3.139864893,4.717230029,0.398901703,0.972590088,1.01442285,0.982123526
5995,Abies,0.016959098,-0.249897809,-6.647673631,1.813954744,-18.75315286,0.824066945,1.032674099,0.997491057
5996,Abies,0.002063356,-1.009460223,-3.268113667,0.448328345,-4.66558559,0.954932158,1.006156481,0.998884039
5997,Abies,0.008568423,0.434424832,-5.643468522,6.965201959,-11.37834084,0.894287002,1.079392901,0.999580405
5998,Abies,0.003680219,-0.797447911,-0.976739668,3.00030482,-3.905145787,0.957736217,1.026559883,0.995659168
5999,Abies,0.002542091,2.242935244,0.102551417,3.783848342,-2.734699121,0.964472165,1.029109374,0.999449654
