ID,Species,Variation_all_years,Recovery_pospoint,Recovery_negpoint,Growth_change_pospoint,Growth_change_negpoint,RWI_negpoint,RWI_pospoint,RWI_normalyears
6200,Abies,0.00270029,0.206211231,-0.932205653,1.612388063,-6.222547723,0.944646315,1.023569799,1.000133783
6101,Abies,0.00578968,-1.49240947,-0.51640759,2.302842456,-9.774220595,0.908806217,1.030453379,1.000702584
6201,Abies,0.000839099,-0.762137051,-0.357094212,-0.448175826,-1.096276486,0.991723376,0.998221985,1.000157588
6103,Abies,0.005711796,-1.491289434,0.513430184,0.469037574,-4.144154652,0.966046957,1.012539274,0.998875115
6202,Abies,0.000958808,-1.574668725,-0.112111444,-0.322293181,-2.843868666,0.974027623,0.999307388,1.000464156
6105,Abies,0.000835351,-1.164767061,-0.868929211,-1.498088343,-0.904069455,0.99461732,0.988655203,1.000365736
6203,Abies,0.005447084,-3.936990796,0.037519287,0.930583302,-4.594874103,0.958638694,1.014158952,1.002638611
6107,Abies,0.022030747,0.954026359,-4.75460256,9.320836264,-11.12315516,0.883316071,1.086501796,0.990720376
6204,Abies,0.038301658,-2.230456842,-2.667506483,4.07053443,-9.719711751,0.906924653,1.045456713,1.005704431
6109,Abies,0.009442679,0.444787648,-0.940609025,6.588995303,-5.258329555,0.950931209,1.069843942,0.993409414
6205,Abies,0.031896157,1.111072302,-1.108533076,2.818493929,-8.19138419,0.92113752,1.031602227,0.997648233
6111,Abies,0.004145271,0.88987795,2.576906119,7.68338562,-6.054496214,0.935235098,1.071996824,0.996078573
6206,Abies,0.022204426,-3.370408693,-4.874777107,3.710477933,-9.013484713,0.914211737,1.042059209,0.99169585
6113,Abies,0.000414704,-0.093449959,-0.381387021,1.057708538,-0.772988297,0.994267129,1.012610942,1.000152849
6207,Abies,0.002473011,1.086837683,-1.00280437,1.345382002,-0.950592342,0.986877758,1.009753674,0.99645754
6116,Abies,0.007133051,-4.189940393,-4.765489896,-3.286606953,-9.470196349,0.922481921,0.985491551,1.004277447
6208,Abies,0.002943353,-1.365222331,-1.684793138,1.020057635,-2.982484433,0.972014961,1.012116284,1.001816582
6118,Abies,0.008643664,-1.868469038,-2.387661916,-1.578692807,-2.773489508,0.974268333,0.986240917,0.999616995
6209,Abies,0.000662101,-0.7277481,-0.054861138,-0.747961914,-0.502680493,0.995719871,0.993265216,1.000428938
6120,Abies,0.000794856,0.483349183,-1.161010097,1.378325375,-0.954824424,0.988360555,1.011642792,0.998953738
6210,Abies,0.00105655,-0.531356603,-0.198614292,-1.502768653,0.836930255,1.009053487,0.985640623,1.00105406
6122,Abies,0.003923621,0.948929426,0.147869977,-0.746942501,-0.336924715,1.003466543,0.999338242,1.002049274
6211,Abies,0.002170377,-0.020476615,1.660966931,-0.250983949,-3.45602402,0.966121269,0.998194294,1.002328852
6124,Abies,0.003886807,-0.391200216,-0.684495444,2.240670397,-4.277264107,0.95868333,1.023961815,0.994244957
6212,Abies,0.00059525,0.576384269,1.263016845,0.527044155,0.784471802,1.005663907,1.003095201,0.998638686
6126,Abies,0.013665827,-4.286340009,0.553102398,-5.612901102,5.90910305,1.060118556,0.944786729,0.997158144
6213,Abies,0.005300198,-1.583341066,-1.545331442,-0.842911371,-4.818127924,0.958575739,0.998610107,1.005000976
6129,Abies,0.013050152,-4.764802717,0.907338704,-1.145022347,-12.62027246,0.889462194,1.00627191,1.002336029
6214,Abies,9.12069E-05,0.069267172,-0.139770574,-0.103691665,-0.831489764,0.99174662,0.999025053,1.001446006
6131,Abies,0.001048013,1.32489261,-0.312131843,0.423744516,-0.4032028,0.99495718,1.003218261,0.998865283
6215,Abies,0.006308272,5.196409978,-1.270713943,-0.169071724,-2.163302682,0.975162843,0.995039842,0.998552
6133,Abies,0.019653097,-0.204649339,-1.820738904,-0.376244512,-14.7088337,0.872570114,1.019199472,1.000662196
